         72.50000000         10.61001276          0.07344188          0.81837483          0.00483650
         73.00000000         10.61068013          0.07374989          0.81832124          0.00485353
         73.50000000         10.61132592          0.07406100          0.81826607          0.00487048
         74.00000000         10.61191811          0.07437271          0.81821354          0.00488648
         74.50000000         10.61246475          0.07467990          0.81814804          0.00490266
         75.00000000         10.61297701          0.07498407          0.81808495          0.00491686
         75.50000000         10.61342753          0.07528314          0.81803203          0.00493180
         76.00000000         10.61381370          0.07557539          0.81797804          0.00494605
         76.50000000         10.61414955          0.07585880          0.81792633          0.00496107
         77.00000000         10.61443629          0.07613273          0.81788083          0.00497608
         77.50000000         10.61469738          0.07639912          0.81783782          0.00499087
         78.00000000         10.61492440          0.07665944          0.81780427          0.00500745
         78.50000000         10.61510087          0.07691328          0.81775800          0.00502390
         79.00000000         10.61521304          0.07715674          0.81770117          0.00504070
         79.50000000         10.61529671          0.07739862          0.81764323          0.00505603
         80.00000000         10.61535428          0.07763723          0.81759056          0.00507066
         80.50000000         10.61540479          0.07787396          0.81753545          0.00508406
         81.00000000         10.61546964          0.07810052          0.81747923          0.00509916
         81.50000000         10.61556379          0.07832047          0.81742964          0.00511406
         82.00000000         10.61567142          0.07853410          0.81738763          0.00512798
         82.50000000         10.61580762          0.07874271          0.81735050          0.00514265
         83.00000000         10.61598862          0.07894541          0.81731228          0.00515747
         83.50000000         10.61619472          0.07914338          0.81727689          0.00517203
         84.00000000         10.61641584          0.07933649          0.81724103          0.00518672
         84.50000000         10.61665778          0.07952209          0.81720510          0.00519950
         85.00000000         10.61692360          0.07970107          0.81716904          0.00521372
         85.50000000         10.61719676          0.07987401          0.81712930          0.00522794
         86.00000000         10.61745982          0.08003889          0.81708559          0.00524052
         86.50000000         10.61769994          0.08019750          0.81703982          0.00525244
         87.00000000         10.61791637          0.08035088          0.81700419          0.00526353
         87.50000000         10.61810101          0.08050052          0.81696992          0.00527590
         88.00000000         10.61823435          0.08064681          0.81694104          0.00528877
         88.50000000         10.61834396          0.08079410          0.81690570          0.00530193
         89.00000000         10.61841951          0.08094265          0.81686854          0.00531475
         89.50000000         10.61848484          0.08109183          0.81683471          0.00532703
         90.00000000         10.61854309          0.08123876          0.81679798          0.00533980
         90.50000000         10.61858272          0.08138320          0.81675878          0.00535287
         91.00000000         10.61859821          0.08152625          0.81670888          0.00536605
         91.50000000         10.61860309          0.08166997          0.81666173          0.00537995
         92.00000000         10.61856660          0.08181280          0.81661979          0.00539219
         92.50000000         10.61850847          0.08195483          0.81658179          0.00540465
         93.00000000         10.61840672          0.08209813          0.81654977          0.00541695
         93.50000000         10.61828739          0.08224515          0.81651925          0.00542969
         94.00000000         10.61814910          0.08239459          0.81649299          0.00544218
         94.50000000         10.61800733          0.08255026          0.81646765          0.00545516
         95.00000000         10.61787716          0.08271039          0.81644306          0.00546917
         95.50000000         10.61775338          0.08287534          0.81642884          0.00548280
         96.00000000         10.61762966          0.08304066          0.81640672          0.00549673
         96.50000000         10.61749137          0.08320515          0.81637943          0.00550983
         97.00000000         10.61734060          0.08336538          0.81636175          0.00552313
         97.50000000         10.61717512          0.08352130          0.81634181          0.00553736
         98.00000000         10.61698486          0.08367369          0.81632617          0.00555141
         98.50000000         10.61675276          0.08382519          0.81630895          0.00556645
         99.00000000         10.61649305          0.08397267          0.81628665          0.00558204
         99.50000000         10.61619749          0.08411925          0.81627058          0.00559627
        100.00000000         10.61587871          0.08426663          0.81625216          0.00561029
        100.50000000         10.61554404          0.08441271          0.81623063          0.00562424
        101.00000000         10.61521437          0.08455991          0.81621057          0.00563916
        101.50000000         10.61488606          0.08470680          0.81619580          0.00565328
        102.00000000         10.61455945          0.08485489          0.81618949          0.00566813
        102.50000000         10.61422869          0.08500302          0.81617486          0.00568404
        103.00000000         10.61389745          0.08515005          0.81616310          0.00570048
        103.50000000         10.61355913          0.08529701          0.81614440          0.00571824
        104.00000000         10.61321893          0.08544299          0.81612155          0.00573542
        104.50000000         10.61288272          0.08558570          0.81610094          0.00575133
        105.00000000         10.61253655          0.08572398          0.81608175          0.00576702
        105.50000000         10.61217431          0.08585772          0.81607202          0.00578232
        106.00000000         10.61178977          0.08598784          0.81607015          0.00579765
        106.50000000         10.61137210          0.08611614          0.81606490          0.00581228
        107.00000000         10.61092314          0.08624366          0.81605452          0.00582895
        107.50000000         10.61043964          0.08637608          0.81604826          0.00584477
        108.00000000         10.60996086          0.08651368          0.81604094          0.00586114
        108.50000000         10.60947829          0.08665795          0.81604168          0.00587815
        109.00000000         10.60899256          0.08680735          0.81604422          0.00589560
        109.50000000         10.60852910          0.08696022          0.81604882          0.00591334
        110.00000000         10.60807478          0.08711596          0.81605736          0.00593129
        110.50000000         10.60765155          0.08727730          0.81607083          0.00594924
        111.00000000         10.60725146          0.08744602          0.81608127          0.00596691
        111.50000000         10.60687435          0.08761914          0.81608962          0.00598569
        112.00000000         10.60654108          0.08779517          0.81610234          0.00600484
        112.50000000         10.60621861          0.08797149          0.81611572          0.00602372
        113.00000000         10.60591711          0.08814903          0.81612850          0.00604108
        113.50000000         10.60562543          0.08832432          0.81614195          0.00605935
        114.00000000         10.60531264          0.08849768          0.81615479          0.00607762
        114.50000000         10.60501017          0.08866549          0.81616773          0.00609742
        115.00000000         10.60471744          0.08882949          0.81618002          0.00611676
        115.50000000         10.60443375          0.08899013          0.81619495          0.00613565
        116.00000000         10.60416676          0.08914964          0.81620501          0.00615507
        116.50000000         10.60389200          0.08930764          0.81621884          0.00617474
        117.00000000         10.60362172          0.08946588          0.81623325          0.00619352
        117.50000000         10.60335740          0.08961996          0.81624693          0.00621175
        118.00000000         10.60310647          0.08977233          0.81626559          0.00622997
        118.50000000         10.60285828          0.08992376          0.81628582          0.00624893
        119.00000000         10.60261162          0.09007686          0.81630735          0.00626800
        119.50000000         10.60237333          0.09023251          0.81632987          0.00628681
        120.00000000         10.60215522          0.09038995          0.81634786          0.00630644
        120.50000000         10.60194615          0.09054758          0.81636431          0.00632642
        121.00000000         10.60176274          0.09070462          0.81638457          0.00634616
        121.50000000         10.60160157          0.09085766          0.81639984          0.00636616
        122.00000000         10.60146832          0.09100640          0.81641011          0.00638692
        122.50000000         10.60134773          0.09115270          0.81642114          0.00640762
        123.00000000         10.60123647          0.09129971          0.81642768          0.00642754
        123.50000000         10.60114626          0.09144971          0.81643245          0.00644756
        124.00000000         10.60109607          0.09160052          0.81643135          0.00646733
        124.50000000         10.60107318          0.09174991          0.81643067          0.00648702
        125.00000000         10.60107523          0.09189823          0.81643017          0.00650654
        125.50000000         10.60106608          0.09204585          0.81643025          0.00652744
        126.00000000         10.60103099          0.09219290          0.81642661          0.00654858
        126.50000000         10.60097157          0.09233756          0.81642564          0.00656946
        127.00000000         10.60090027          0.09248136          0.81642218          0.00658993
        127.50000000         10.60080183          0.09262075          0.81642453          0.00660961
        128.00000000         10.60069303          0.09275631          0.81642223          0.00662949
        128.50000000         10.60057216          0.09288796          0.81642268          0.00664853
        129.00000000         10.60044290          0.09301481          0.81642127          0.00666778
        129.50000000         10.60031181          0.09313903          0.81641844          0.00668706
        130.00000000         10.60017614          0.09325965          0.81641549          0.00670658
        130.50000000         10.60006526          0.09337854          0.81641008          0.00672596
        131.00000000         10.59996676          0.09349520          0.81640371          0.00674547
        131.50000000         10.59989979          0.09361051          0.81639879          0.00676516
        132.00000000         10.59986771          0.09372679          0.81639785          0.00678440
        132.50000000         10.59985828          0.09384311          0.81639732          0.00680430
        133.00000000         10.59985865          0.09396007          0.81639725          0.00682402
        133.50000000         10.59987771          0.09407865          0.81639460          0.00684354
        134.00000000         10.59990864          0.09419712          0.81639247          0.00686324
        134.50000000         10.59995852          0.09431449          0.81638812          0.00688326
        135.00000000         10.60002811          0.09443091          0.81638109          0.00690378
        135.50000000         10.60009757          0.09454760          0.81637830          0.00692368
        136.00000000         10.60016403          0.09466515          0.81637756          0.00694426
        136.50000000         10.60021478          0.09478530          0.81637087          0.00696449
        137.00000000         10.60025806          0.09490706          0.81637052          0.00698476
        137.50000000         10.60028922          0.09502738          0.81636700          0.00700564
        138.00000000         10.60028147          0.09514711          0.81636737          0.00702710
        138.50000000         10.60025221          0.09527111          0.81636646          0.00704795
        139.00000000         10.60021642          0.09539842          0.81636633          0.00706912
        139.50000000         10.60017061          0.09552714          0.81636859          0.00708990
        140.00000000         10.60012008          0.09565341          0.81637158          0.00711141
        140.50000000         10.60006938          0.09577830          0.81637820          0.00713324
        141.00000000         10.60001357          0.09590346          0.81638303          0.00715608
        141.50000000         10.59996518          0.09602861          0.81638603          0.00717819
        142.00000000         10.59993483          0.09615441          0.81639109          0.00719947
        142.50000000         10.59992872          0.09627955          0.81639895          0.00722147
        143.00000000         10.59995240          0.09640567          0.81640391          0.00724373
        143.50000000         10.59998835          0.09653316          0.81640806          0.00726597
        144.00000000         10.60002270          0.09665961          0.81640789          0.00728859
        144.50000000         10.60003982          0.09678246          0.81640757          0.00731162
        145.00000000         10.60003783          0.09690321          0.81640708          0.00733395
        145.50000000         10.60003296          0.09702219          0.81641060          0.00735573
        146.00000000         10.60002823          0.09714053          0.81641075          0.00737678
        146.50000000         10.60002006          0.09725788          0.81641323          0.00739828
        147.00000000         10.60000284          0.09737330          0.81641436          0.00741977
        147.50000000         10.59997735          0.09748880          0.81641323          0.00744175
        148.00000000         10.59996139          0.09760355          0.81641304          0.00746292
        148.50000000         10.59993397          0.09771546          0.81641935          0.00748364
        149.00000000         10.59990372          0.09782505          0.81641811          0.00750469
        149.50000000         10.59985700          0.09793121          0.81642495          0.00752528
        150.00000000         10.59979928          0.09803289          0.81643444          0.00754576
        150.50000000         10.59973314          0.09813041          0.81643871          0.00756583
        151.00000000         10.59966571          0.09822426          0.81644225          0.00758536
        151.50000000         10.59959289          0.09831574          0.81644870          0.00760459
        152.00000000         10.59951482          0.09840316          0.81646011          0.00762369
        152.50000000         10.59943003          0.09848806          0.81647188          0.00764340
        153.00000000         10.59934678          0.09856989          0.81648140          0.00766263
        153.50000000         10.59926295          0.09865217          0.81648980          0.00768097
        154.00000000         10.59920002          0.09873381          0.81649924          0.00769905
        154.50000000         10.59915067          0.09881587          0.81651454          0.00771751
        155.00000000         10.59911633          0.09889585          0.81652472          0.00773644
        155.50000000         10.59909713          0.09897321          0.81653801          0.00775539
        156.00000000         10.59909390          0.09904672          0.81654712          0.00777430
        156.50000000         10.59910823          0.09911644          0.81655183          0.00779375
        157.00000000         10.59913600          0.09918190          0.81655391          0.00781297
        157.50000000         10.59918194          0.09924487          0.81656066          0.00783185
        158.00000000         10.59924716          0.09930501          0.81656099          0.00785029
        158.50000000         10.59931904          0.09936103          0.81656381          0.00786899
        159.00000000         10.59938462          0.09941443          0.81655939          0.00788745
        159.50000000         10.59945000          0.09946844          0.81655687          0.00790542
        160.00000000         10.59951374          0.09952444          0.81655371          0.00792327
        160.50000000         10.59958396          0.09958444          0.81655336          0.00794124
        161.00000000         10.59966291          0.09964791          0.81655738          0.00795931
        161.50000000         10.59974369          0.09971225          0.81656091          0.00797752
        162.00000000         10.59982914          0.09977767          0.81656441          0.00799521
        162.50000000         10.59990823          0.09984547          0.81656414          0.00801313
        163.00000000         10.59996954          0.09991459          0.81657090          0.00803113
        163.50000000         10.60002331          0.09998457          0.81658647          0.00804826
        164.00000000         10.60008127          0.10005664          0.81659763          0.00806533
        164.50000000         10.60015369          0.10013006          0.81661119          0.00808188
        165.00000000         10.60024396          0.10020274          0.81662826          0.00809936
        165.50000000         10.60032869          0.10027626          0.81664594          0.00811785
        166.00000000         10.60041658          0.10034977          0.81665833          0.00813578
        166.50000000         10.60050582          0.10042093          0.81666872          0.00815377
        167.00000000         10.60059972          0.10049087          0.81668124          0.00817171
        167.50000000         10.60067711          0.10055757          0.81669602          0.00818997
        168.00000000         10.60074196          0.10062203          0.81671208          0.00820780
        168.50000000         10.60080371          0.10068243          0.81672889          0.00822460
        169.00000000         10.60085654          0.10074053          0.81674685          0.00824183
        169.50000000         10.60088976          0.10079733          0.81676406          0.00825930
        170.00000000         10.60090099          0.10085421          0.81678119          0.00827722
        170.50000000         10.60088641          0.10091264          0.81679440          0.00829509
        171.00000000         10.60087467          0.10097391          0.81680567          0.00831312
        171.50000000         10.60084801          0.10103594          0.81681117          0.00833154
        172.00000000         10.60081586          0.10110054          0.81682174          0.00834911
        172.50000000         10.60078207          0.10116608          0.81683060          0.00836691
        173.00000000         10.60075160          0.10122947          0.81683453          0.00838442
        173.50000000         10.60072044          0.10129036          0.81683854          0.00840174
        174.00000000         10.60068676          0.10134709          0.81684004          0.00841859
        174.50000000         10.60066150          0.10140170          0.81684236          0.00843629
        175.00000000         10.60064210          0.10145377          0.81683916          0.00845387
        175.50000000         10.60062303          0.10150502          0.81683725          0.00847100
        176.00000000         10.60061751          0.10155402          0.81683534          0.00848792
        176.50000000         10.60061660          0.10160211          0.81683355          0.00850475
        177.00000000         10.60060330          0.10165002          0.81683148          0.00852116
        177.50000000         10.60057102          0.10169787          0.81682232          0.00853671
        178.00000000         10.60053237          0.10174503          0.81681508          0.00855265
        178.50000000         10.60049588          0.10179067          0.81680766          0.00856826
        179.00000000         10.60045880          0.10183664          0.81680315          0.00858417
        179.50000000         10.60042587          0.10188353          0.81680162          0.00859994
        180.00000000         10.60040065          0.10193133          0.81680315          0.00861618
        180.50000000         10.60038416          0.10197741          0.81680401          0.00863232
        181.00000000         10.60036662          0.10202177          0.81680584          0.00864865
        181.50000000         10.60034840          0.10206661          0.81680287          0.00866471
        182.00000000         10.60033189          0.10211317          0.81679546          0.00868041
        182.50000000         10.60030987          0.10215957          0.81678602          0.00869632
        183.00000000         10.60027217          0.10220571          0.81677810          0.00871187
        183.50000000         10.60023849          0.10225137          0.81677217          0.00872694
        184.00000000         10.60019658          0.10229627          0.81676867          0.00874222
        184.50000000         10.60015422          0.10233990          0.81677161          0.00875802
        185.00000000         10.60012082          0.10238208          0.81677679          0.00877354
        185.50000000         10.60008295          0.10242265          0.81677987          0.00878877
        186.00000000         10.60005145          0.10246282          0.81678199          0.00880459
        186.50000000         10.60001231          0.10250332          0.81678060          0.00882042
        187.00000000         10.59998053          0.10254463          0.81677537          0.00883594
        187.50000000         10.59996493          0.10258809          0.81676926          0.00885150
        188.00000000         10.59995462          0.10263325          0.81676720          0.00886678
        188.50000000         10.59994574          0.10267964          0.81676313          0.00888161
        189.00000000         10.59995169          0.10272698          0.81675983          0.00889617
        189.50000000         10.59997347          0.10277757          0.81675462          0.00891102
        190.00000000         10.60000194          0.10282735          0.81675224          0.00892576
        190.50000000         10.60004614          0.10287570          0.81674840          0.00894101
        191.00000000         10.60011237          0.10292298          0.81674392          0.00895633
        191.50000000         10.60019588          0.10296945          0.81673773          0.00897153
        192.00000000         10.60029564          0.10301388          0.81672873          0.00898682
        192.50000000         10.60039577          0.10305692          0.81672026          0.00900170
        193.00000000         10.60048510          0.10309990          0.81671410          0.00901599
        193.50000000         10.60056603          0.10314142          0.81670678          0.00903005
        194.00000000         10.60065173          0.10318264          0.81670267          0.00904413
        194.50000000         10.60074192          0.10322497          0.81670274          0.00905820
        195.00000000         10.60083692          0.10326981          0.81670267          0.00907166
        195.50000000         10.60093446          0.10331636          0.81670522          0.00908512
        196.00000000         10.60102657          0.10336553          0.81670031          0.00909816
        196.50000000         10.60111567          0.10341651          0.81669596          0.00911129
        197.00000000         10.60119795          0.10346806          0.81669084          0.00912401
        197.50000000         10.60126892          0.10351815          0.81668512          0.00913715
        198.00000000         10.60134626          0.10356960          0.81667709          0.00914987
        198.50000000         10.60142069          0.10362182          0.81666444          0.00916264
        199.00000000         10.60149099          0.10367503          0.81665307          0.00917617
        199.50000000         10.60156707          0.10372824          0.81664288          0.00918964
        200.00000000         10.60164718          0.10378028          0.81663461          0.00920283
        200.50000000         10.60173386          0.10382883          0.81662554          0.00921644
        201.00000000         10.60182694          0.10387559          0.81661684          0.00923041
        201.50000000         10.60191519          0.10392048          0.81661177          0.00924390
        202.00000000         10.60199786          0.10396383          0.81661152          0.00925746
        202.50000000         10.60208328          0.10400714          0.81660588          0.00927116
        203.00000000         10.60218041          0.10405164          0.81660131          0.00928471
        203.50000000         10.60228708          0.10409625          0.81660173          0.00929865
        204.00000000         10.60239555          0.10414184          0.81660617          0.00931280
        204.50000000         10.60249700          0.10418854          0.81660648          0.00932652
        205.00000000         10.60259471          0.10423824          0.81660736          0.00934095
        205.50000000         10.60268546          0.10428853          0.81660728          0.00935471
        206.00000000         10.60276889          0.10433887          0.81660488          0.00936827
        206.50000000         10.60285651          0.10438858          0.81659949          0.00938210
        207.00000000         10.60294148          0.10443702          0.81659315          0.00939621
        207.50000000         10.60302622          0.10448325          0.81659297          0.00941008
        208.00000000         10.60312252          0.10452794          0.81659279          0.00942340
        208.50000000         10.60321843          0.10456962          0.81659274          0.00943638
        209.00000000         10.60331557          0.10460906          0.81658798          0.00944906
        209.50000000         10.60341848          0.10464630          0.81658186          0.00946180
        210.00000000         10.60352959          0.10468273          0.81657839          0.00947477
        210.50000000         10.60364793          0.10471850          0.81657466          0.00948783
        211.00000000         10.60377468          0.10475294          0.81657264          0.00950084
        211.50000000         10.60390502          0.10478762          0.81657433          0.00951419
        212.00000000         10.60403835          0.10482279          0.81657448          0.00952764
        212.50000000         10.60417250          0.10485573          0.81657176          0.00954067
        213.00000000         10.60431607          0.10488715          0.81657035          0.00955321
        213.50000000         10.60445103          0.10491525          0.81656800          0.00956561
        214.00000000         10.60457435          0.10494087          0.81656265          0.00957791
        214.50000000         10.60469148          0.10496461          0.81656459          0.00959036
        215.00000000         10.60480149          0.10498595          0.81656753          0.00960272
        215.50000000         10.60490041          0.10500536          0.81657051          0.00961466
        216.00000000         10.60499219          0.10502451          0.81657033          0.00962658
        216.50000000         10.60508112          0.10504366          0.81656712          0.00963864
        217.00000000         10.60516806          0.10506367          0.81656443          0.00965079
        217.50000000         10.60524379          0.10508574          0.81656758          0.00966323
        218.00000000         10.60532205          0.10510984          0.81656775          0.00967598
        218.50000000         10.60539662          0.10513392          0.81656602          0.00968878
        219.00000000         10.60546983          0.10515669          0.81656318          0.00970171
        219.50000000         10.60554119          0.10517823          0.81655867          0.00971453
        220.00000000         10.60561190          0.10519683          0.81655322          0.00972678
        220.50000000         10.60568503          0.10521414          0.81655027          0.00973899
        221.00000000         10.60575610          0.10523166          0.81654600          0.00975099
        221.50000000         10.60582635          0.10524919          0.81653864          0.00976249
